"Path","LineNumber","Line"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","230","        if topk > 0 and len(scores) > topk:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","231","            idx = np.argsort(-scores)[:topk]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","298","def find_similar_cases(patient_vec_pca: np.ndarray, pred_cluster: int, artifacts: dict, topk: int = 3):"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","313","    top = ref_df.sort_values(""sim"", ascending=False).head(topk)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","346","    patient_vec, attn_details = aggregate_patient_vector_attention("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","351","        topk=8,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","365","        topk=3,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","378","        ""protocol_attention_details"": attn_details,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\patient.py","17","    get_patient_protocol_topk_details,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\patient.py","315","    protocol_topk_details = get_patient_protocol_topk_details(patient_id) or []"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\patient.py","383","            ""protocol_topk_details"": protocol_topk_details,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\result_reader.py","4","from backend.config import BASELINE_DIR, ATTN_DIR, DEFAULT_TOPK, DEFAULT_SEEDS"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\result_reader.py","13","def load_seed_clusters(topk: int = DEFAULT_TOPK, seeds=DEFAULT_SEEDS) -> pd.DataFrame:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\result_reader.py","16","        fp = ATTN_DIR / f""topk{topk}"" / f""seed{seed}"" / ""clusters.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\result_reader.py","25","def load_topk_details(topk: int = DEFAULT_TOPK) -> pd.DataFrame:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\result_reader.py","26","    fp = ATTN_DIR / f""topk{topk}"" / ""seed0"" / ""attn_topk_details.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\clustering\run_clustering_from_embeddings.py","8","- Attention Pooling embeddings"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\data_loader\npy_loader.py","54","                - None: 加载所有帧（Attention Pooling）"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\data_loader\npy_loader.py","331","    # ========== 测试2：Attention Pooling 模式 =========="
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\data_loader\npy_loader.py","332","    print(""\n📋 测试2：Attention Pooling 模式（完整加载）"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\import_clinical.py","7","CLINICAL_CSV = Path(r""G:\windows\图像数据\dataProcess\outputs\clinical_consensus_analysis\clinical_with_consensus_attn_topk8.csv"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\import_consensus.py","7","CONSENSUS_CSV = Path(r""G:\windows\图像数据\dataProcess\outputs\final_attn_tau007_topk8_pca100\topk8\consensus_labels.csv"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\query_protocol_contribution.py","8","ATTN_TOPK_DETAILS_CSV = DATA_DIR / ""protocol"" / ""attn_topk_details.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\query_protocol_contribution.py","73","def get_patient_protocol_topk_details(patient_id: str, per_protocol_topn: int = 3):"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\query_protocol_contribution.py","74","    if not ATTN_TOPK_DETAILS_CSV.exists():"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\query_protocol_contribution.py","77","    df = pd.read_csv(ATTN_TOPK_DETAILS_CSV)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\db\query_protocol_contribution.py","82","        raise ValueError(f""attn_topk_details.csv 缺少字段: {missing}"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","2","Attention Pooling 表征生成器"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","15","class AttentionPooling:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","27","    def __init__(self, temperature: float = 0.07, topk: Optional[int] = None):"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","29","        self.topk = topk"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","66","        if self.topk is not None and n_frames > self.topk:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","67","            topk_indices = np.argsort(-scores)[:self.topk]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","68","            selected_features = protocol_features[topk_indices]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","69","            selected_scores = scores[topk_indices]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","76","        attention_weights = self._softmax(scaled_scores.reshape(1, -1), axis=1).reshape(-1)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","79","        aggregated = (attention_weights[:, None] * selected_features).sum(axis=0)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","82","            return aggregated, attention_weights"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","87","class AttentionEmbedder:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","89","    基于 Attention Pooling 的患者表征生成器"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","93","    - topk=8（选择最相似的 8 张图像）"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","104","            topk: Optional[int] = 8,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","112","            topk: Top-k 选择（8 最优）"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","113","            seed: 随机种子（Attention 是确定性的，通常设为 None）"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","120","        self.attention_pooling = AttentionPooling("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","122","            topk=topk"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","125","        self.topk = topk"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","132","        """"""生成单个患者的表征向量（Attention Pooling）"""""""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","148","            protocol_vector = self.attention_pooling.aggregate("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","168","                print(f""🔄 生成患者 {patient_id} 的表征（Attention, topk={self.topk}, τ={self.temperature})..."")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","196","            pooling_method='attention',"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","198","            topk=self.topk if self.topk else -1"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","201","        print(f""💾 已保存 {len(patient_ids)} 个患者表征（Attention）到: {output_path}"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","215","        print(f""📂 已加载 {len(embeddings)} 个患者表征（Attention Pooling）"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\attention_pooling.py","216","        print(f""   τ={float(data['temperature'])}, top-k={int(data['topk'])}"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","9","- Attention Pooling: deterministic centroid-softmax top-k"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","51","def attention_pool_protocol("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","53","    topk: int,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","57","    Deterministic centroid-softmax attention pooling."
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","69","    if topk > 0 and len(scores) > topk:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","70","        idx = np.argsort(-scores)[:topk]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","137","    # Attention Pooling (frame-level topk = 8)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","140","    print(""🧠 Attention Pooling (frame-level topk = 8, deterministic)"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","151","    for pid in tqdm(patient_ids, desc=""Attention Pooling""):"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","158","                attention_pool_protocol("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","160","                    topk=8,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","173","        out_dir / ""patient_embeddings_attention_topk8_tau007.npz"","
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","178","            pooling=""attention"","
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","179","            topk=8,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\models\batch_generate_embeddings.py","193","    print(f""Attention Pooling: {len(kept_attn)} / {len(patient_ids)} patients"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","1","# backend/vlm/coarse_label_builder.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","10","    根据患者协议级 VLM 分数生成粗表型标签。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","52","        tags.append(""VLM 未提示明确异常形态倾向"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","59","    将图像级 VLM 评分聚合为患者级粗标签。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","78","            ""vlm_quality"": ""unknown"","
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","99","            row[""vlm_quality""] = ""good"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","101","            row[""vlm_quality""] = ""fair"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\coarse_label_builder.py","103","            row[""vlm_quality""] = ""poor"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","1","# backend/vlm/patient_vlm_runner.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","8","from backend.vlm.vlm_client import score_image_with_vlm"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","9","from backend.vlm.coarse_label_builder import aggregate_patient_scores"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","13","DEFAULT_OUT_DIR = PROJECT_ROOT / ""outputs"" / ""vlm"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","86","def run_vlm_scoring("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","107","        result = score_image_with_vlm("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","117","            f""[VLM] patient={patient_id} protocol={protocol} """
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","123","    image_scores_path = out_dir / ""vlm_image_scores.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","128","    patient_labels_path = out_dir / ""vlm_patient_coarse_labels.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","144","    parser.add_argument(""--real_vlm"", action=""store_true"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","148","    run_vlm_scoring("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\patient_vlm_runner.py","152","        use_mock=not args.real_vlm,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","1","# backend/vlm/vlm_client.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","8","from backend.vlm.vlm_prompt import build_vlm_score_prompt"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","9","from backend.vlm.vlm_score_parser import normalize_vlm_score"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","15","    mock 阶段用于模拟 VLM 输出。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","22","def mock_vlm_score_image(image_path: str, protocol: str) -> Dict[str, Any]:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","24","    mock 版 VLM 图像评分。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","73","    return normalize_vlm_score(raw, protocol=protocol, image_path=image_path)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","76","def call_real_vlm_api(image_path: str, protocol: str) -> Dict[str, Any]:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","78","    真实 VLM API 预留接口。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","80","    后续你接在线 API 或本地 VLM 时，只需要改这里："
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","82","    2. 调用 VLM；"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","84","    4. 用 normalize_vlm_score 标准化输出。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","86","    prompt = build_vlm_score_prompt(protocol)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","89","        ""真实 VLM API 尚未接入。当前请使用 mock_vlm_score_image。"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","93","def score_image_with_vlm("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","115","        return mock_vlm_score_image(image_path=image_path, protocol=protocol)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_client.py","117","    return call_real_vlm_api(image_path=image_path, protocol=protocol)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_prompt.py","1","# backend/vlm/vlm_prompt.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_prompt.py","5","def build_vlm_score_prompt(protocol: str) -> str:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_prompt.py","7","    构造 VLM 图像粗评分 prompt。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_prompt.py","8","    当前阶段用于真实 VLM API 时调用。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_score_parser.py","1","# backend/vlm/vlm_score_parser.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_score_parser.py","11","    从 VLM 返回文本中提取 JSON。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_score_parser.py","34","def normalize_vlm_score(raw: Dict[str, Any], protocol: str, image_path: str) -> Dict[str, Any]:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\vlm_score_parser.py","36","    标准化 VLM 评分结果。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","1","# backend/vlm/patient_vlm_runner.py"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","8","from backend.vlm.vlm_client import score_image_with_vlm"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","9","from backend.vlm.coarse_label_builder import aggregate_patient_scores"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","13","DEFAULT_OUT_DIR = PROJECT_ROOT / ""outputs"" / ""vlm"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","86","def run_vlm_scoring("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","107","        result = score_image_with_vlm("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","117","            f""[VLM] patient={patient_id} protocol={protocol} """
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","123","    image_scores_path = out_dir / ""vlm_image_scores.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","128","    patient_labels_path = out_dir / ""vlm_patient_coarse_labels.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","144","    parser.add_argument(""--real_vlm"", action=""store_true"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","148","    run_vlm_scoring("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\vlm\__init__.py","152","        use_mock=not args.real_vlm,"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\system_config.yaml","15","  pooling_method: ""attention""        # mean / attention"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\system_config.yaml","16","  attention_temperature: 0.07"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\system_config.yaml","17","  attention_topk: 8"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","1","default_version: ""M1_新公平_Attn_topk4"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","4","  - ""M1_新公平_Attn_topk4"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","5","  - ""M2_新公平_Attn_topk6"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","7","  - ""M4_旧随机_Mean_topk4"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","8","  - ""M5_旧随机_Attn_topk6"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","11","  M1_新公平_Attn_topk4:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","12","    display_name: ""M1 - 新公平 Attention K4"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","15","    description: ""主实验版本：采用新公平确定性抽帧策略，基于 Attention Pooling，选取每个协议中最具代表性的 Top-4 帧。"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","18","    pooling: ""attention"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","19","    method: ""确定性抽帧 + Attention Pooling + top-k=4"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","24","      consensus_labels: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/attn/topk4/pca50/consensus_labels_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","25","      clinical_with_clusters: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/attn/topk4/pca50/merged_clinical_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","26","      kruskal_stable: ""H:/windows/图像数据/dataProcess/processed/M1/stats/M1_新公平_Attn_topk4_kruskal.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","27","      dunn_stable: ""H:/windows/图像数据/dataProcess/processed/M1/stats/M1_新公平_Attn_topk4_dunn.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","32","  M2_新公平_Attn_topk6:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","33","    display_name: ""M2 - 新公平 Attention K6"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","36","    description: ""消融对照版本：采用新公平确定性抽帧策略，基于 Attention Pooling，选取每个协议中最具代表性的 Top-6 帧。"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","39","    pooling: ""attention"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","40","    method: ""确定性抽帧 + Attention Pooling + top-k=6"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","45","      consensus_labels: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/attn/topk6/pca50/consensus_labels_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","46","      clinical_with_clusters: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/attn/topk6/pca50/merged_clinical_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","47","      kruskal_stable: ""H:/windows/图像数据/dataProcess/processed/M2/stats/M2_新公平_Attn_topk6_kruskal.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","48","      dunn_stable: ""H:/windows/图像数据/dataProcess/processed/M2/stats/M2_新公平_Attn_topk6_dunn.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","67","      consensus_labels: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/mean/topk0/pca50/consensus_labels_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","68","      clinical_with_clusters: ""H:/windows/图像数据/dataProcess/outputs/fair_compare_multi_dim/mean/topk0/pca50/merged_clinical_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","75","  M4_旧随机_Mean_topk4:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","90","      kruskal_stable: ""H:/windows/图像数据/dataProcess/processed/M4/stats/M4_旧随机_Mean_topk4_kruskal.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","91","      dunn_stable: ""H:/windows/图像数据/dataProcess/processed/M4/stats/M4_旧随机_Mean_topk4_dunn.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","96","  M5_旧随机_Attn_topk6:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","97","    display_name: ""M5 - 旧随机 Attention K6"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","100","    description: ""旧方法对照版本：采用随机受限抽帧策略，基于 Attention Pooling，每个协议最多保留 6 帧。"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","103","    pooling: ""attention"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","104","    method: ""随机受限抽帧 + Attention Pooling + 最多6帧"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","109","      consensus_labels: ""H:/windows/图像数据/dataProcess/rerun_outputs_02468_pca50/attn/topk6/consensus_labels_all.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","111","      kruskal_stable: ""H:/windows/图像数据/dataProcess/processed/M5/stats/M5_旧随机_Attn_topk6_kruskal.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\config\versions.yaml","112","      dunn_stable: ""H:/windows/图像数据/dataProcess/processed/M5/stats/M5_旧随机_Attn_topk6_dunn.csv"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\sctripts\build_cluster_profile_summary.py","9","4. 为 M1_Attn_topk4 生成论文可用的最终表型命名；"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\sctripts\compare_versions_clinical_value.py","139","    topk 越大，复杂度略高。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\sctripts\compare_versions_clinical_value.py","140","    Mean topk0 视为低复杂度。"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\sctripts\compare_versions_clinical_value.py","145","    match = re.search(r""topk(\d+)"", name, re.IGNORECASE)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\sctripts\compare_versions_clinical_value.py","149","    if ""Mean"" in name and ""topk0"" in name:"
